CLONE	CBSD3S	CBSD3S.ebv	CBSD3S.wt	CBSD6S	CBSD6S.ebv	CBSD6S.wt	CBSDRS	CBSDRS.ebv	CBSDRS.wt
UG14_2126	0.561607593	0.512768412	13.13986632	0.314505378	0.292176758	11.0413192	2.255205329	1.341660839	2.643280355
UG14_2127	-0.164952672	-0.148466945	12.15651504	-0.242354289	-0.22313542	10.46535908	-0.56660115	-0.185696099	0.959522926
UG14_2132	0.259328389	0.229186467	11.08129056	0.359857755	0.318156976	8.430037983	-1.568489431	-0.516349774	0.965618092
UG14_2134	0.965598306	0.843361604	10.47403041	-0.03460325	-0.030644292	8.499154606	-0.186606024	-0.092404332	1.843897232
UG14_2137	0.063753308	0.058248361	13.1897143	0.504899692	0.47021541	11.21028396	-0.545530362	-0.270210456	1.844790218
UG14_2138	0.414549628	0.361821324	10.44034114	0.523893362	0.474660737	9.561707265	-0.573805982	-0.284075424	1.843146229
UG14_2142	0.007579337	0.006730978	11.34989969	-0.231665975	-0.197410665	7.121619378	0.12060908	0.071740101	2.642302309
UG14_2143	-0.201206554	-0.183771292	13.16490159	0.31785878	0.296717261	11.37466582	-0.546804919	-0.270805131	1.84434002
UG14_2144	-0.328749447	-0.28213094	9.672504803	-0.703665545	-0.627135619	8.773226435	-1.228714411	-0.60836998	1.843515479
UG14_2146	-0.19969416	-0.174211263	10.41721157	-0.410020903	-0.371482383	9.560730676	0.248065656	0.122842894	1.844025331
UG14_2151	-0.211955198	-0.190067186	11.92375533	-0.134593072	-0.120623376	9.026017095	0.085194174	0.042188811	1.84405592
UG14_2154	0.070158806	0.063393591	12.41068379	-0.232257154	-0.21377194	10.44623836	0.355213721	0.211458046	2.646924004
UG14_2159	-0.224016021	-0.195100103	10.33600745	0.116755337	0.105799708	9.569742931	-0.576957582	-0.343376286	2.645505806
UG14_2160	-0.115230628	-0.104160329	12.4369339	0.139116986	0.128756677	10.79397939	-0.740273995	-0.440609586	2.645965441
UG14_2162	-0.056122035	-0.048655841	10.12237853	0.213550487	0.191573628	9.072045224	-0.74747051	-0.44490023	2.646058859
UG14_2163	0.369829445	0.322803827	10.44253384	1.10300779	0.982747387	8.759783622	-0.585564822	-0.192624265	0.9645876
UG14_2164	-0.285460957	-0.249378662	10.48477742	-0.198353942	-0.176972327	8.821376713	-0.280936521	-0.139070709	1.842831471
UG14_2166	-0.134406115	-0.121951027	12.69224479	-0.022830694	-0.021082647	10.64941438	-0.684302301	-0.407391702	2.64731394
UG14_2169	-0.010217974	-0.009081832	11.39715992	0.132793831	0.120933147	9.834224089	1.280562489	0.421577855	0.965664281
UG14_2170	-0.286222427	-0.155448879	2.725598087	-0.204252784	-0.126017234	2.702331441	-1.207606877	-0.597742468	1.842533568
UG14_2173	-0.478904699	-0.407431555	9.314766883	-0.931559266	-0.817088092	8.113102321	-1.568489431	-0.516349774	0.965618092
UG14_2174	-0.1513858	-0.136393043	12.22117232	-0.605997373	-0.558065253	10.47893568	-0.591594511	-0.292980477	1.844263943
UG14_2179	0.052634706	0.046031254	10.53787535	0.113864454	0.102285229	9.136394965	-0.588269784	-0.291362691	1.844592286
